ALTI MACH POWERS EAI CAP YAW ROLL PITCH VIS RH TA  HBASE HOUR MODEL  CLOUDS IHAZE1 IHAZE2 IHAZE3  IRStot IRMS
1163.4 89.4 0.717 9.5 5.8 0.89 1.8 0.865 12 74 15.4 450 69.8 1 -1 0 1 0 -19.46622631 -16.97564589
845.8 29.8 0.714 9.6 10 0.89 1.1 0.89 12 97 13.5 1250 15 1 1 0 0 1 -19.73633027 -18.38146003
1075.1 78.1 0.711 6.3 -5.6 0.87 -8.4 0.858 12 23 31.2 3000 70.2 0 1 0 0 1 -18.76246708 -16.35622594
948.4 88 0.755 7.2 -2.4 0.9 -7.1 0.852 15 30 31.7 3000 69.8 0 1 0 1 0 -18.89100442 -16.65304322
1109.7 56.9 0.948 2.7 -8.1 0.87 9.7 0.925 15 96 14.3 1250 59.6 1 1 0 0 1 -18.73347552 -17.51282549
874.7 85 0.898 0.4 9.8 0.86 6.3 0.886 13 31 35.5 500 30 1 1 0 0 1 -18.64570106 -17.60443137
1039.6 2.2 0.78 9.9 6.9 0.86 -9.7 0.919 13 39 31.8 3000 60.3 0 1 0 0 1 -18.1567792 -17.12705007
878.4 81.8 0.898 10 -7.3 0.87 8.8 0.887 12 58 23.2 800 59.6 1 1 0 0 1 -18.21447991 -17.03814343
1017.6 36 0.865 8.2 -0.9 0.94 -3 0.855 14 88 2.7 500 75.9 1 -1 0 1 0 -19.24097971 -15.85650091
1080.2 40.8 0.872 0.2 -9.9 0.94 -9.8 0.894 13 92 6.7 750 23.4 1 -1 0 1 0 -20.57484583 -16.92351607
843.8 0.8 0.718 7.5 9.7 0.91 9 0.918 13 58 19.3 750 50.5 1 1 0 0 1 -19.22386603 -17.21650796
1086.3 82.1 0.769 9.6 -6.9 0.86 -5.5 0.894 12 32 24 3000 69.8 0 1 1 0 0 -18.44825751 -16.05982674
1065.1 13.7 0.815 3.9 -8.3 0.93 9 0.864 14 49 2.7 1250 67.2 1 -1 0 1 0 -19.06656273 -15.46524977
961 83.8 0.751 1.3 -4.5 0.88 7.9 0.896 15 90 10.2 3000 0.8 0 -1 0 1 0 -34.98756 -34.39640915
844.2 0.5 0.809 3.2 6.3 0.93 -8.3 0.922 15 97 15.9 500 51.7 1 -1 1 0 0 -19.38563665 -18.21855656
1049.3 16.9 0.687 8.8 -8.8 0.92 8.8 0.864 15 42 29.3 3000 4.6 0 1 0 0 1 -21.00549613 -18.97302305
1091 37 0.876 1.6 8.4 0.93 -8.3 0.872 13 86 9.5 3000 73.5 0 -1 0 1 0 -21.29969722 -16.67374432
1068 41.7 0.948 2.5 -8.2 0.94 -9.9 0.907 13 78 3.1 3000 56.9 0 -1 0 0 1 -18.97615512 -15.64559514
827 7 0.721 2.7 -9.9 0.87 9.5 0.925 14 69 22.3 3000 10 0 1 1 0 0 -20.16193723 -19.02490172
904 1.2 0.913 0.7 -10 0.92 8.2 0.916 15 48 26.4 450 30.1 1 1 1 0 0 -18.69288325 -17.6236241
805.3 7.2 0.761 9.8 -1 0.93 9.8 0.901 14 47 6.7 500 3.1 1 -1 1 0 0 -20.93065908 -17.18375684
1041.5 88.6 0.831 2.3 4.7 0.93 -9.5 0.898 15 13 14.5 3000 16.9 0 -1 0 1 0 -19.8795458 -15.28910725
820.1 87.2 0.748 1.1 1.3 0.86 -5.3 0.919 15 14 35.3 3000 29.9 0 1 1 0 0 -18.68634043 -16.04298818
1189.9 44.1 0.948 9.3 9.1 0.85 8.2 0.918 15 89 -2.5 425 27.6 1 -1 1 0 0 -18.65906484 -15.39054704
1120.5 0.6 0.864 9.9 0.9 0.87 -9.8 0.884 12 57 30.2 3000 8.9 0 1 1 0 0 -19.10308583 -19.13935088
908 77.4 0.924 9.8 9.7 0.92 -6.5 0.886 15 33 32.8 1750 9.7 1 1 0 0 1 -18.78798339 -17.23436287
863 17.6 0.705 0.1 8.9 0.95 9.8 0.862 15 60 19.3 3000 24.5 1 1 0 0 1 -19.68016626 -17.77462517
1060 73.3 0.859 0.5 -7.3 0.95 9.2 0.854 12 83 10 450 1.4 1 -1 0 1 0 -35.0065113 -24.99339338
